samples/CAM_FRONT/n015-2018-08-02-17-16-37+0800__CAM_FRONT__1533201470412460.jpg [[709.1936367254442, 0.0, 457.1095330032193], [0.0, 709.1936367254442, 275.2439580158948], [0.0, 0.0, 1.0]]
samples/CAM_FRONT_RIGHT/n015-2018-08-02-17-16-37+0800__CAM_FRONT_RIGHT__1533201470420339.jpg [[706.0745719823576, 0.0, 452.46221886065666], [0.0, 706.0745719823576, 277.38728023052624], [0.0, 0.0, 1.0]]
samples/CAM_BACK_RIGHT/n015-2018-08-02-17-16-37+0800__CAM_BACK_RIGHT__1533201470427893.jpg [[705.3276977303318, 0.0, 452.0616289396039], [0.0, 705.3276977303318, 280.66964855047644], [0.0, 0.0, 1.0]]
samples/CAM_BACK/n015-2018-08-02-17-16-37+0800__CAM_BACK__1533201470437525.jpg [[453.1637566472487, 0.0, 464.36297815956453], [0.0, 453.1637566472487, 269.7959185019192], [0.0, 0.0, 1.0]]
samples/CAM_BACK_LEFT/n015-2018-08-02-17-16-37+0800__CAM_BACK_LEFT__1533201470447423.jpg [[703.7752324736479, 0.0, 443.58304337108274], [0.0, 703.7752324736479, 275.95441922334487], [0.0, 0.0, 1.0]]
samples/CAM_FRONT_LEFT/n015-2018-08-02-17-16-37+0800__CAM_FRONT_LEFT__1533201470404874.jpg [[712.6548533876253, 0.0, 462.9046779026182], [0.0, 712.6548533876253, 268.66092730744384], [0.0, 0.0, 1.0]]
samples/CAM_FRONT/n015-2018-08-02-17-16-37+0800__CAM_FRONT__1533201470912460.jpg [[709.1936367254442, 0.0, 457.1095330032193], [0.0, 709.1936367254442, 275.2439580158948], [0.0, 0.0, 1.0]]
samples/CAM_FRONT_RIGHT/n015-2018-08-02-17-16-37+0800__CAM_FRONT_RIGHT__1533201470920339.jpg [[706.0745719823576, 0.0, 452.46221886065666], [0.0, 706.0745719823576, 277.38728023052624], [0.0, 0.0, 1.0]]
samples/CAM_BACK_RIGHT/n015-2018-08-02-17-16-37+0800__CAM_BACK_RIGHT__1533201470927893.jpg [[705.3276977303318, 0.0, 452.0616289396039], [0.0, 705.3276977303318, 280.66964855047644], [0.0, 0.0, 1.0]]
samples/CAM_BACK/n015-2018-08-02-17-16-37+0800__CAM_BACK__1533201470937525.jpg [[453.1637566472487, 0.0, 464.36297815956453], [0.0, 453.1637566472487, 269.7959185019192], [0.0, 0.0, 1.0]]
samples/CAM_BACK_LEFT/n015-2018-08-02-17-16-37+0800__CAM_BACK_LEFT__1533201470947423.jpg [[703.7752324736479, 0.0, 443.58304337108274], [0.0, 703.7752324736479, 275.95441922334487], [0.0, 0.0, 1.0]]
samples/CAM_FRONT_LEFT/n015-2018-08-02-17-16-37+0800__CAM_FRONT_LEFT__1533201470904844.jpg [[712.6548533876253, 0.0, 462.9046779026182], [0.0, 712.6548533876253, 268.66092730744384], [0.0, 0.0, 1.0]]
samples/CAM_FRONT/n015-2018-08-02-17-16-37+0800__CAM_FRONT__1533201471412477.jpg [[709.1936367254442, 0.0, 457.1095330032193], [0.0, 709.1936367254442, 275.2439580158948], [0.0, 0.0, 1.0]]
samples/CAM_FRONT_RIGHT/n015-2018-08-02-17-16-37+0800__CAM_FRONT_RIGHT__1533201471420339.jpg [[706.0745719823576, 0.0, 452.46221886065666], [0.0, 706.0745719823576, 277.38728023052624], [0.0, 0.0, 1.0]]
samples/CAM_BACK_RIGHT/n015-2018-08-02-17-16-37+0800__CAM_BACK_RIGHT__1533201471427893.jpg [[705.3276977303318, 0.0, 452.0616289396039], [0.0, 705.3276977303318, 280.66964855047644], [0.0, 0.0, 1.0]]
samples/CAM_BACK/n015-2018-08-02-17-16-37+0800__CAM_BACK__1533201471437636.jpg [[453.1637566472487, 0.0, 464.36297815956453], [0.0, 453.1637566472487, 269.7959185019192], [0.0, 0.0, 1.0]]
samples/CAM_BACK_LEFT/n015-2018-08-02-17-16-37+0800__CAM_BACK_LEFT__1533201471447423.jpg [[703.7752324736479, 0.0, 443.58304337108274], [0.0, 703.7752324736479, 275.95441922334487], [0.0, 0.0, 1.0]]
samples/CAM_FRONT_LEFT/n015-2018-08-02-17-16-37+0800__CAM_FRONT_LEFT__1533201471404844.jpg [[712.6548533876253, 0.0, 462.9046779026182], [0.0, 712.6548533876253, 268.66092730744384], [0.0, 0.0, 1.0]]
samples/CAM_FRONT/n015-2018-08-02-17-16-37+0800__CAM_FRONT__1533201471912460.jpg [[709.1936367254442, 0.0, 457.1095330032193], [0.0, 709.1936367254442, 275.2439580158948], [0.0, 0.0, 1.0]]
